15-4-28 下午3:16
项目统计

     	  片段	   词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	2254	13013	  75247	  86908	    25	
剩余：  	1642	11003	  61397	  71626	    24	
独特：  	1497	11273	  63090	  73682	    25	
剩余独特：	1383	10470	  57991	  67894	    24	


单文件统计：

文件名                                	总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
html_en/man1/convert_sym.html      	 36	  14	  35	    13	 119	  55	 118	    54	     836	      421	      825	        410	     919	      460	      908	        449	
html_en/man1/garchive.html         	 67	  40	  38	    33	 280	 210	 202	   196	    1769	     1280	     1272	       1198	    1983	     1449	     1436	       1361	
html_en/man1/gattrib.html          	 56	   4	  27	     1	 192	   8	 116	     1	    1351	       48	      847	          7	    1484	       51	      932	          7	
html_en/man1/gmk_sym.html          	 81	  55	  32	    32	 280	 212	 200	   200	    1609	     1132	     1015	       1015	    1826	     1305	     1184	       1184	
html_en/man1/gnetlist.html         	178	 135	 133	   128	 854	 717	 713	   694	    5551	     4624	     4648	       4489	    6210	     5187	     5211	       5037	
html_en/man1/grenum.html           	 43	  28	  23	    23	 160	 142	 133	   133	    1072	      883	      830	        830	    1179	      987	      931	        931	
html_en/man1/gsch2pcb.html         	104	  66	  65	    62	 794	 700	 696	   692	    5117	     4368	     4394	       4318	    5756	     4948	     4972	       4895	
html_en/man1/gschem.html           	 90	   4	  35	     1	 511	   8	 351	     1	    3254	       46	     2087	          6	    3669	       49	     2398	          6	
html_en/man1/gschlas.html          	 51	  24	  16	    16	 197	 127	 114	   114	    1225	      744	      677	        677	    1378	      851	      781	        781	
html_en/man1/gsymcheck.html        	 92	  72	  50	    50	 399	 376	 357	   357	    2431	     2172	     1995	       1995	    2742	     2480	     2298	       2298	
html_en/man1/gsymfix.html          	 64	  39	  24	    24	 246	 180	 168	   168	    1497	     1038	      932	        932	    1683	     1180	     1070	       1070	
html_en/man1/gxyrs.html            	214	 200	 187	   187	1892	1876	1797	  1797	   11562	    11397	    11049	      11049	   13246	    13079	    12666	      12666	
html_en/man1/head.html             	 66	  65	  60	    60	 586	 586	 577	   577	    1594	     1589	     1536	       1536	    2126	     2121	     2065	       2065	
html_en/man1/man.html              	573	 570	 557	   557	3944	3940	3884	  3884	   20077	    20055	    19780	      19780	   24397	    24374	    24033	      24033	
html_en/man1/olib.html             	 79	  53	  32	    32	 402	 334	 322	   322	    2367	     1890	     1778	       1778	    2699	     2178	     2062	       2062	
html_en/man1/pads_backannotate.html	 49	  35	  26	    26	 264	 248	 232	   232	    1734	     1569	     1445	       1445	    1939	     1772	     1642	       1642	
html_en/man1/pcb_backannotate.html 	 44	  30	   9	     9	 198	 182	  87	    87	    1355	     1190	      614	        614	    1503	     1336	      687	        687	
html_en/man1/refdes_renum.html     	 81	  56	  40	    40	 391	 324	 291	   291	    2381	     1924	     1665	       1665	    2686	     2184	     1909	       1909	
html_en/man1/sarlacc_schem.html    	 45	  20	  11	    11	 130	  64	  50	    50	     944	      485	      377	        377	    1030	      527	      415	        415	
html_en/man1/sarlacc_sym.html      	 45	  20	   8	     8	 134	  68	  43	    43	     964	      505	      344	        344	    1054	      551	      379	        379	
html_en/man1/schdiff.html          	 48	  37	  26	    26	 263	 250	 234	   234	    1692	     1563	     1436	       1436	    1902	     1771	     1640	       1640	
html_en/man1/smash_megafile.html   	 33	  15	   8	     8	 108	  51	  39	    39	     725	      376	      284	        284	     801	      410	      314	        314	
html_en/man1/sw2asc.html           	 42	  28	  17	    17	 254	 238	 209	   209	    1481	     1316	     1129	       1129	    1686	     1519	     1315	       1315	
html_en/man1/tragesym.html         	 54	  32	  19	    19	 170	 107	  95	    95	    1205	      782	      677	        677	    1324	      857	      748	        748	
ronn_background.ronn               	 19	   0	  19	     0	 245	   0	 245	     0	    1454	        0	     1454	          0	    1686	        0	     1686	          0	
